Season,Winner
1971,DAL
1972,MIA
1973,MIA
1974,PIT
1975,PIT
1976,OAK
1977,DAL
1978,PIT
1979,PIT
1980,OAK
1981,SFO
1982,WAS
1983,OAK
1984,SFO
1985,CHI
1986,NYG
1987,WAS
1988,SFO
1989,SFO
1990,NYG
1991,WAS
1992,DAL
1993,DAL
1994,SFO
1995,DAL
1996,GNB
1997,DEN
1998,DEN
1999,STL
2000,BAL
2001,NWE
2002,TAM
2003,NWE
2004,NWE
2005,PIT
2006,IND
2007,NYG
2008,PIT
2009,NOR
2010,GNB
2011,NYG
2012,BAL
2013,SEA
2014,NWE
2015,DEN
2016,NWE
2017,PHI
2018,NWE
2019,KAN
2020,TAM
2021,LAR
2022,KAN
2023,KAN
2024,PHI
